restaurant_id,name,price,phone,website,address,add_name,add_num
1,Domino's Pizza,,+1 773-588-8860,https://www.mcdonalds.com/us/en-us/location/il/chicago/3241-w-peterson/56.html?cid=RF:YXT:RoN::Clicks,"3241 W Peterson, Chicago, IL 60659",W PETERSON AVE,3241
2,Azucar Tapas Restaurant and Cocktail Bar,2,,,"750 S Halsted 151-MC117, Chicago, IL 60607",S HALSTED ST,750
3,Tang's Garden Restaurant,,,,"513 1/2 E 47th St, Chicago, IL 60653-4207",E 47TH ST,513
4,Fina Estampa,2,+1 773-202-1940,https://www.facebook.com/ChicagoBaskinRobbins59,"4644 W Diversey Ave, Chicago, IL 60639",W DIVERSEY AVE,4644
5,Pokiology,,+1 773-637-7035,https://restaurants.subway.com/united-states/il/chicago/5710-w-fullerton?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=21506&utm_campaign=evergreen-2020&y_source=1_MTQ5MTI1NDItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"5710 W Fullerton, Chicago, IL 60639",W FULLERTON AVE,5710
6,MrBeast Burger,,+1 773-687-8416,https://restaurants.subway.com/united-states/il/chicago/2412-lincoln-avenue?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=22672&utm_campaign=evergreen-2020&y_source=1_MTQ5MDk0MzEtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"2412 Lincoln Avenue, Chicago, IL 60614",N LINCOLN AVE,2412
7,Presto Mediterranean Cafe,,+1 312-674-0424,https://burgerking.com/store-locator/store/restaurant_672,"2328 South Michigan, Chicago, IL 60616",S MICHIGAN AVE,2328
8,Teagschwendner,1,+1 773-596-1888,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps,"800 N Kedzie, Chicago, IL 60651",N KEDZIE AVE,800
9,Mayflower Chinese Restaurant,,+1 773-239-4071,https://locations.wendys.com/united-states/il/chicago/8302-s-ashland,"8302 S Ashland, Chicago, IL 60620",S ASHLAND AVE,8302
10,Lou Mitchell's,2,,http://www.gameroomchicago.com/,"12 S Michigan Ave, Chicago, IL 60603-3300",S MICHIGAN AVE,12
11,Subway,,+1 312-443-3747,http://www.artic.edu/visit/dining?qt-reference_nodes=1#quicktabs-reference_nodes,"111 S Michigan Ave Art Institute of Chicago, Chicago, IL 60603-6110",S MICHIGAN AVE,111
12,McDonald's,,+1 312-263-4988,http://www.millerspub.com/,"134 S Wabash Ave, Chicago, IL 60603-5604",S WABASH AVE,134
13,Potbelly Sandwich Shop,,+1 800-806-1532,https://www.getreef.com/?utm_source=ExtendedNetwork&utm_medium=local-listing&y_source=1_MjQzMTk4MzgtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"135 N Kedzie Ave, Chicago, IL 60612",N KEDZIE AVE,135
14,La Trailita #2,,+1 312-624-8547,http://ruchichicago.com,"151 N Michigan Ave Millennium Train Station, C17, Chicago, IL 60601-7506",N MICHIGAN AVE,151
15,Maria's Mexican Restaurant,2,+1 312-631-3124,https://restaurants.subway.com/united-states/il/chicago/166-n-wabash-ave?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=7659&utm_campaign=evergreen-2020&y_source=1_MTQ5MDA4MzQtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"166 N Wabash Ave, Chicago, IL 60601",N WABASH AVE,166
16,Celona,1,+1 312-867-0186,http://starbucks.com,"210 W North Ave, Chicago, IL 60610-1225",W NORTH AVE,210
17,Mayfair Restaurant in Chicago,,+1 312-294-3585,http://cso.org/,"220 S Michigan Ave, Chicago, IL 60604-2596",S MICHIGAN AVE,220
18,Dawali Mediterranean Kitchen,1,+1 312-334-6700,https://www.freereinrestaurant.com/,"224 N Michigan Ave, Chicago, IL 60601-5906",N MICHIGAN AVE,224
19,Sky Food,,+1 312-929-3091,https://www.twolightschicago.com/,"227 W North Ave Across from Second City in Old Town, Chicago, IL 60610-1236",W NORTH AVE,227
20,Isabella Bakery,,+1 312-337-3992,http://www.secondcity.com/1959,"230 W North Ave Piper's Alley, Chicago, IL 60610-5089",W NORTH AVE,230
21,Xiao Guohui,,+1 800-607-5021,https://www.getreef.com/?utm_source=ExtendedNetwork&utm_medium=local-listing&y_source=1_MjQzMjAwNzAtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"246 N California Ave, Chicago, IL 60612",N CALIFORNIA AVE,246
22,The Art of Pizza,1,+1 312-379-7900,http://www.wholefoodsmarket.com/stores/streeterville,"255 E Grand Ave Whole Foods, Chicago, IL 60611-3315",E GRAND AVE,255
23,Tequila Cj Cantina Grill,2,+1 312-444-0943,,"306 N Michigan Ave, Chicago, IL 60601-3702",N MICHIGAN AVE,306
24,Naty's Pizza,,+1 312-944-0661,https://restaurants.subway.com/united-states/il/chicago/333-w-north-ave?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=5183&utm_campaign=evergreen-2020&y_source=1_MTQ4OTQyMzgtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"333 W North Ave, Chicago, IL 60610",W NORTH AVE,333
25,Subway,,+1 312-763-3336,https://www.brownbagseafood.com/,"333 S Wabash Ave, Chicago, IL 60604-4107",S WABASH AVE,333
26,La Paris Bakery,,+1 773-360-8288,,"339 N Milwaukee Ave, Chicago, IL 60647",N MILWAUKEE AVE,339
27,Bridgeport Pasty Company,1,+1 312-755-9779,,"350 W North Ave Ste 118, Chicago, IL 60610-1218",W NORTH AVE,350
28,Carmine's,2,+1 312-243-3344,http://www.sansookbbq.com,"401 N Milwaukee Ave, Chicago, IL 60654-6586",N MILWAUKEE AVE,401
29,ChurriNaan,,+1 312-828-9120,https://locations.dunkindonuts.com/en/il/chicago/404-n-wabash-ave/340231?utm_source=yext&utm_medium=local&utm_campaign=localmaps&utm_content=340231,"404 N Wabash Ave, Chicago, IL 60611",N WABASH AVE,404
30,Starbucks Coffee,,+1 312-858-5600,http://www.loumalnatis.com/chicago-michigan-avenue,"410 N Michigan Ave, Chicago, IL 60611-4213",N MICHIGAN AVE,410
31,Adorn Bar & Restaurant,4,,,"410 S Kostner Ave, Chicago, IL 60624-3046",S KOSTNER AVE,410
32,Burger King,,+1 312-455-1019,http://bigdeliciousplanet.com,"412 N Wolcott Ave, Chicago, IL 60622-6252",N WOLCOTT AVE,412
33,Subway,,+1 312-664-3400,http://www.aromachicago.com,"417 W North Ave, Chicago, IL 60610-1117",W NORTH AVE,417
34,Amarit Thai & Sushi,2,+1 312-222-1525,http://www.billygoattavern.com/,"430 N Michigan Ave, Chicago, IL 60611",N MICHIGAN AVE,430
35,Three Wheels Noodle,,+1 312-222-0901,https://www.facebook.com/pages/Flamingos/201534699881756,"440 E Grand Ave, Chicago, IL 60611-3304",E GRAND AVE,440
36,Munchies Fast Food,,+1 312-596-0793,http://www.cornerbakerycafe.com/,"444 N Michigan Ave, Chicago, IL 60611-3903",N MICHIGAN AVE,444
37,El Pueblito,,+1 312-265-0322,https://forastero-llc.mycloveronline.com,"449 W North Ave, Chicago, IL 60610",W NORTH AVE,449
38,El Mariachi Tequila Bar & Grill,2,+1 312-245-0702,,"520 N Michigan Ave, Chicago, IL 60611-6982",N MICHIGAN AVE,520
39,House of Blues Restaurant & Bar,2,+1 312-329-1900,http://jimmyjohns.com,"520 N Michigan Ave Chicago The Shops at North Bridge, Level 4, Chicago, IL 60611-6982",N MICHIGAN AVE,520
40,ETA Restaurant + Bar,2,+1 312-753-7190,https://www.potbelly.com/locations/illinois/navy-pier,"600 E. Grand Ave Ste. SA-03, Chicago, IL 60611",E. GRAND AVE,600
41,Hands On,2,+1 312-427-9470,http://thaispoonsushichi.com/,"601 S Wabash Ave Wabash Ave. & Harrison St., Chicago, IL 60605-1809",S WABASH AVE,601
42,D'Nuez,,+1 773-253-5001,http://sabrosochicago.com,"624 N Ashland Ave, Chicago, IL 60622",N ASHLAND AVE,624
